UsahaID	Nama	Alamat	Southing	Easting
41	CV. CITRA ADY PERKASA	"JANGKUNGAN RT 03 RW IV NO 6, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.33471	110.49818
42	CV. ALAMINDO MANDIRI JAYA	"JL. ARGOSARI A RT 01 RW 08, KEL. RANDUACIR, KEC. ARGOMULYO, SALATIGA"	-7.35546	110.50018
43	CV. MENANG SENTOSA	"JL. LANGENSUKO NO 09, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.36165	110.52551
44	CV. GRAHA NAKULA	"JL. OSAMALIKI NO 3, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.32293	110.49625
45	CV. ARGO JAYA AGUNG	"JL. ARGOTUNGGAL NO 16, KEL. LEDOK, KEC. ARGOMULYO, SALATIGA"	-7.34934	110.50527
46	CV. MULTI ANUGERAH	"JL. SINOMAN TEMPEL NO 255, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31748	110.49381
47	CV. PUTRA SEMESTA	"JL. PERENGREJO NO 45, KEL. GENDONGAN, KEC. TINGKIR, SALATIGA"	-7.33634	110.51043
48	CV. MERAK TUNGGAL JAYA	"JAGALAN RT 03 RW 05, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.35035	110.5054
49	CV. PASCMI SCIENTIFIC	"JL. JEND. SUDIRMAN NO 190, KEL. GENDONGAN, KEC. TINGKIR, SALATIGA"	-7.3284	110.5036
50	CV. BUANA HARAPAN GEMILANG	"JL. IMAM BONJOL NO 23A, KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.32104	110.49454
51	PT. RUMEKSO MEKARING SABDA	"JL. RAYA SALATIGA-KOPENG KM 4, KEL. KUMPULREJO, KEC. ARGOMULYO, SALATIGA"	-7.35869	110.48013
52	PT. ENDAH KARYA UTAMA ABADI	"JL. DIPONEGORO 124 KEL. SIDOREJO LOR, KEC. SIDOREJO, SALATIGA"	-7.31285	110.49192
53	"PT. HANJAYA MANDALA SAMPOERNA, Tbk"	"JL. HASANUDIN 115, KEL. MANGUNSARI KEC. SIDOMUKTI, SALATIGA"	-7.3415	110.4944
54	PT. DWI ANGKASA	"PERUM KLASEMAN HIJAU 2, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.33631	110.49878
55	PT. PARTNER KEMENANGAN	"JL. MAGERSARI NO 161, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.34052	110.49832
56	PT. CENDRAWASIH DANA SEJAHTERA	"JAGALAN RT 03 RW 05, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.3614	110.50536
57	PT. WIYASA SUKA JATI	"JAGALAN RT 03 RW 05, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.36833	110.51276
58	KOPERASI CIPTA SWADAYA	"JL. PAHLAWAN NO 59 B, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.32693	110.50821
59	RM. ELANG SARI	"JL. SOEKARNO HATTA, ISEP-ISEP, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.35613	110.51304
60	GREEN TEKNIK	"GANG ANGGREK I, KENTENG RT 01 RW V, KEL. TEGALREJO, KEC. ARGOMULYO, SALATIGA"	-7.34981	110.51045
61	UMI KULSUM	"PASAR RAYA I BLOK Q XIII/76, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.3263	110.50324
62	TOKO LOB SPORT	"JL. JEND. SUDIRMAN 60, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.3306	110.50565
63	ANUGRAH TIMBERS	"JL. IMAM BONJOL 189 KM 1, KEL. KECANDRAN, KEC. SIDOMUKTI, SALATIGA"	-7.3251	110.4976
64	FRESS	"JL. SITI PROJO 11 RT 01 RW 14, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.32161	110.51038
65	ROTI MAJU	"DK. PASAR ANYAR RT 01 RW 02, KEL. KAUMAN KIDUL, KEC. SIDOREJO, SALATIGA"	-7.31482	110.49339
66	MAJU MAPAN	"JL. SUKOWATI 18, KEL. KALICACING, KEC. SIDOMUKTI, SALATIGA"	-7.33366	110.50554
67	SEKAWAN MOTOR	"JL. PATIMURA 103, DOMAS, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.31531	110.50505
68	JM. PRODUCTION	"JL. SOEKARNO HATTA, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.35814	110.51279
69	CV. DIGIKARYA	"JL. ABIYOSO 30 RT 003 RW I, KEL. DUKUH, KEC. SIDOMUKTI, SALATIGA"	-7.33465	110.50555
70	CV. KENCANA JAYA	"JL. JEND. SUDIRMAN 252, KEL. GENDONGAN, KEC. TINGKIR, SALATIGA"	-7.33075	110.50561
71	CV. AJINING LATHI	"ISEP-ISEP RT 02 RW 03, KEL. CEBONGAN, KEC. ARGOMULYO, SALATIGA"	-7.35915	110.5138
72	CV. PANGAN ARTA SEJAHTERA	"JL. PUNGKURSARI 10A, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.3312	110.50215
73	CV. PUTERI MEKAR	"JL. KARANGTARUNA 200 RT 07 RW 07, KEL. SALATIGA, KEC. SIDOREJO, SALATIGA"	-7.3332	110.50223
74	CV. SEMESTA MENDUKUNG	"JL. SUROPATI 15, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.34375	110.49745
75	CV. REJEKI AGUNG	"JL. TANGGUL HARAPAN 56 RT 01 RW IX, KEL. KUTOWINANGUN, KEC. TINGKIR, SALATIGA"	-7.32885	110.51024
76	CV. CAKRA EKA KARYA	"JL. HASANUDIN 66, KEL. MANGUNSARI, KEC. SIDOMUKTI, SALATIGA"	-7.34075	110.49545
